tp,sex,edu,income,pipei
苏提春晓,M,大学,49283,0.217
曲院风荷,M,大学,13771,0.818
平湖秋月,M,大学,6164,0.133
断桥残雪,F,初中,13454,0.239
花港观鱼,M,高中,33038,0.116
柳浪闻莺,M,高中,31188,0.536
三潭印月,F,大学及以上,29564,0.716
双峰插云,M,大学及以上,4003,0.232
雷峰夕照,M,大学及以上,42281,0.995
南屏晚钟,F,大学及以上,45652,0.714
苏提春晓,M,大学,31582,0.767
曲院风荷,F,初中,11884,0.102
平湖秋月,F,高中,18238,0.705
断桥残雪,F,初中,22014,0.103
花港观鱼,M,大学,36520,0.203
柳浪闻莺,M,大学及以上,3458,0.868
三潭印月,F,高中,28556,0.409
双峰插云,M,大学,48330,0.997
雷峰夕照,M,大学,22894,0.514
南屏晚钟,M,大学及以上,8849,0.105
苏提春晓,F,初中,34583,0.423
曲院风荷,M,初中,9571,0.801
平湖秋月,F,大学及以上,12739,0.521
断桥残雪,F,大学及以上,10838,0.001
花港观鱼,M,初中,13407,0.45
柳浪闻莺,M,大学及以上,36545,0.618
三潭印月,M,初中,11369,0.689
双峰插云,F,初中,28565,0.206
雷峰夕照,M,高中,5551,0.075
南屏晚钟,F,高中,10298,0.342
苏提春晓,M,大学及以上,29352,0.525
曲院风荷,F,大学及以上,49927,0.37
平湖秋月,M,大学,32879,0.154
断桥残雪,F,初中,44843,0.34
花港观鱼,M,初中,18948,0.164
柳浪闻莺,M,初中,35582,0.637
三潭印月,M,大学及以上,46346,0.844
双峰插云,F,大学,35762,0.768
雷峰夕照,F,高中,26871,0.462
南屏晚钟,F,大学及以上,45752,0.181
苏提春晓,F,大学及以上,7452,0.141
曲院风荷,F,高中,35837,0.23
平湖秋月,M,初中,44184,0.225
断桥残雪,F,大学,43098,0.839
花港观鱼,F,大学及以上,28931,0.947
柳浪闻莺,M,大学及以上,11981,0.567
三潭印月,F,初中,48694,0.718
双峰插云,F,初中,39815,0.022
雷峰夕照,F,初中,4777,0.855
南屏晚钟,M,大学及以上,41512,0.194
苏提春晓,M,大学及以上,35282,0.259
